Time (UTC);WT_WW-P-50.215.ThHy_ext.PU315;eta_total_electric_power;hex1_on_off;central_machine_heating_on_off;EV_NVP.Elek_P.TGA;chp1_electric_power;static_heating_volume_flow;t_amb;hex1_thermal_load;static_heating_on_off;chp2_electric_power;bproductionmodeactivated;static_heating_thermal_load;central_machine_heating_volume_flow;ThSp_VC-100E.395.ThHy_T_ob;central_machine_heating_thermal_load;hex1_volume_flow_hnht;eta_without_hnht_electric_power;zero_thermal_load;bsetstatusonalgorithm;bheatingmodeactivated;chp_index;feed_in_tariff_euro_per_kWh;chp_remuneration_self_consumption_euro_per_kWh;electricity_price_euro_per_kWh;CO2_intensity_gCO2_per_kWh;gas_price_euro_per_kWh
2026-01-03 21:38:00;20,86998748779297;5,681499004364014;0;0;4,671928882598877;0,0;0,0214830357581377;7,119999885559082;-0,0;1;0,0;1,0;-0,2821420431137085;0,0;66,33332061767578;-0,0;0,0;5,681499004364014;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:39:00;20,86998748779297;6,947301864624023;0;0;4,637160301208496;0,0;0,015440572053194;7,119999885559082;-0,0;1;0,0;1,0;-0,2131422311067581;0,0;66,3285140991211;-0,0;0,0;6,947301864624023;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:40:00;20,86998748779297;7,57597541809082;0;0;4,649856090545654;0,0;0,0139999995008111;7,119999885559082;-0,0;1;0,0;1,0;-0,205123946070671;0,0;66,32343292236328;-0,0;0,0;7,57597541809082;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:41:00;20,86998748779297;7,600979328155518;0;0;4,634971618652344;0,0;0,0340409986674785;7,119999885559082;-0,0;1;0,0;1,0;-0,5084183812141418;0,0;66,31037139892578;-0,0;0,0;7,600979328155518;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:42:00;20,86998748779297;7,550262928009033;0;0;4,614690780639648;0,0;0,0440357066690921;7,119999885559082;-0,0;1;0,0;1,0;-0,6143820285797119;0,0;66,30542755126953;-0,0;0,0;7,550262928009033;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:43:00;20,86998748779297;7,562915802001953;0;0;4,619602680206299;0,0;0,0460302978754043;7,119999885559082;-0,0;1;0,0;1,0;-0,5964555740356445;0,0;66,30573272705078;-0,0;0,0;7,562915802001953;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:44:00;20,86998748779297;7,548713207244873;0;0;4,6303391456604;0,0;0,0429999977350235;7,119999885559082;-0,0;1;0,0;1,0;-0,5315614938735962;0,0;66,30255889892578;-0,0;0,0;7,548713207244873;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:45:00;20,86998748779297;7,542387962341309;0;0;4,596726417541504;0,0;0,0457264259457588;7,119999885559082;-0,0;1;0,0;1,0;-0,5341325402259827;0,0;66,3016586303711;-0,0;0,0;7,542387962341309;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:46:00;20,86998748779297;6,734635353088379;0;0;3,652405023574829;0,0;0,0465759821236133;7,119999885559082;-0,0;1;0,0;1,0;-0,5087671875953674;0,0;66,29017639160156;-0,0;0,0;6,734635353088379;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:47:00;20,86998748779297;6,628561019897461;0;0;3,6873879432678223;0,0;0,0453705079853534;7,119999885559082;-0,0;1;0,0;1,0;-0,491321861743927;0,0;66,29075622558594;-0,0;0,0;6,628561019897461;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
